 facilityid |                 url                  |         name          | male | female | unisex | allgender | toiletnote | drinkingwater | shower 
------------+--------------------------------------+-----------------------+------+--------+--------+-----------+------------+---------------+--------
          1 | https://toiletmap.gov.au/facility/1  | Sandy Beach Reserve   | t    | t      | f      | f         |            | f             | t
          2 | https://toiletmap.gov.au/facility/2  | Point Reserve         | t    | t      | f      | f         |            | f             | f
          3 | https://toiletmap.gov.au/facility/3  | Success Hill Reserve  | t    | t      | f      | f         |            | t             | t
          4 | https://toiletmap.gov.au/facility/4  | Jubilee Reserve       | t    | t      | f      | f         |            | f             | f
          5 | https://toiletmap.gov.au/facility/5  | Ashfield Reserve      | t    | t      | f      | f         |            | f             | f
          6 | https://toiletmap.gov.au/facility/6  | BIC Reserve           | t    | t      | f      | f         |            | f             | f
          7 | https://toiletmap.gov.au/facility/7  | Mary Crescent Reserve | t    | t      | f      | f         |            | f             | f
          9 | https://toiletmap.gov.au/facility/9  | Bassendean Oval 3     | t    | t      | f      | f         |            | f             | f
         15 | https://toiletmap.gov.au/facility/15 | Apex Park             | t    | t      | f      | f         |            | f             | f
         16 | https://toiletmap.gov.au/facility/16 | Lions Park            | t    | t      | f      | f         |            | f             | f
         17 | https://toiletmap.gov.au/facility/17 | Parella Street        | t    | t      | f      | f         |            | f             | t
         18 | https://toiletmap.gov.au/facility/18 | Nolan Park            | f    | f      | t      | f         |            | f             | f
         20 | https://toiletmap.gov.au/facility/20 | Binda Park            | f    | f      | f      | f         |            | f             | f
         21 | https://toiletmap.gov.au/facility/21 | Spring Park           | t    | t      | f      | f         |            | f             | f
         22 | https://toiletmap.gov.au/facility/22 | Lions Park            | t    | t      | f      | f         |            | f             | f
         23 | https://toiletmap.gov.au/facility/23 | Drummond Street       | t    | t      | f      | f         |            | f             | f
         24 | https://toiletmap.gov.au/facility/24 | Centenary Park        | t    | t      | f      | f         |            | f             | f
         25 | https://toiletmap.gov.au/facility/25 | Capella Street        | t    | t      | f      | f         |            | f             | f
         26 | https://toiletmap.gov.au/facility/26 | East Palmerston       | t    | t      | f      | f         |            | f             | f
         28 | https://toiletmap.gov.au/facility/28 | Fred Drew Park        | t    | t      | f      | f         |            | f             | f
(20 rows)

 # Toilets in Cooma with Parking 
---------------------------------
                               4
(1 row)

 # Toilets Down Under 
----------------------
                22031
(1 row)

 # Sporting Facilities That Double As Dumps 
--------------------------------------------
                                       1872
(1 row)

               town                | Toilet Count 
 Baird Bay                         |            1
 Bairnsdale                        |           16
 Bajool                            |            1
 Bakers Beach                      |            7
 Bakers Hill                       |            3
 Balaclava                         |            2
 Balaklava                         |            4
 Balbarrup                         |            1
 Balcatta                          |            5
 Balcolyn                          |            2
 Bald Hills                        |            4
 Baldivis                          |            6
 Balga                             |            7
 Balgal Beach                      |            2
 Balgowan                          |            1
 Balgowlah                         |            6
 Balgowlah Heights                 |            3
 Balhannah                         |            2
 Balingup                          |            5
 Balladonia                        |            2
 Balladoran                        |            1
 Ballajura                         |            4
 Ballan                            |            5
 Ballandean                        |            1
 Ballarat                          |            6
 Ballarat Central                  |           15
 Ballarat East                     |            5
 Ballarat North                    |            1
 Ball Bay                          |            1
 Balldale                          |            1
 Balliang                          |            4
 Ballidu                           |            1
 Ballimore                         |            1
 Ballina                           |           30
 Balmain                           |            5
 Balmain East                      |            1
 Balmattum                         |            2
 Balmoral                          |            2
 Balnarring                        |            5
 Balnarring Beach                  |            1
 Balook                            |            3
 Balranald                         |            9
 Balwyn                            |            6
 Balwyn North                      |           10
 Bambra                            |            1
 Banana                            |            2
 Ban Ban Springs                   |            2
 Banda Banda                       |            1
 Bandiana                          |            1
 Bandon Grove                      |            6
 Bandy Creek                       |            2
 Bangalee                          |            1
 Bangalow                          |            4
 Bangholme                         |            1
 Bangor                            |            4
 Banjup                            |            1
 Banksia                           |            1
 Banksia Beach                     |            5
 Banksiadale                       |            1
 Banksia Peninsula                 |            1
 Bankstown                         |           13
 Bankstown Airport                 |            1
 Bannockburn                       |            5
 Banora Point                      |            5
 Banyo                             |            3
 Baradine                          |            3
 Baralaba                          |            5
 Baranduda                         |            1
 Barangaroo                        |            3
 Barcaldine                        |           12
 Barden Ridge                      |            9
 Bardon                            |            3
 Bardwell Park                     |            1
 Barellan                          |            2
 Barellan Point                    |            2
 Bargara                           |            8
 Bargo                             |            4
 Barham                            |            3
 Baringa                           |            1
 Baringhup                         |            1
 Barjarg                           |            1
 Barkers Creek                     |            1
 Barmah                            |            5
 Barmedman                         |            2
 Barmera                           |           10
 Barnawartha                       |            2
 Barnawartha North                 |            1
 Barney View                       |            1
 Barnsley                          |            1
 Barooga                           |            5
 Barossa Goldfields                |            1
 Barraba                           |            9
 Barrack Heights                   |            4
 Barrack Point                     |            5
 Barraganyatti                     |            1
 Barragup                          |            2
 Barramunga                        |            2
 Barren Grounds                    |            1
 Barrington                        |            3
 Barrington Tops                   |            2
 Bartle Frere                      |            2
 Barton                            |            2
 Barwon Downs                      |            2
 Barwon Heads                      |           10
 Basalt                            |            4
 Basin View                        |            1
 Bass                              |            1
 Bassendean                        |           10
 Bass Hill                         |            4
 Batchelor                         |            3
 Bateau Bay                        |            8
 Batehaven                         |            3
 Bateman                           |            1
 Batemans Bay                      |            9
 Bathurst                          |           19
 Batlow                            |            5
 Battery Point                     |            3
 Baudin Beach                      |            1
 Bauhinia                          |            1
 Baulkham Hills                    |           15
 Bauple Forest                     |            1
 Baw Baw                           |            4
 Baw Baw Village                   |            2
 Bawley Point                      |            2
 Baxter                            |            2
 Bayles                            |            1
 Bayswater                         |           14
 Bayswater North                   |            7
 Bayview                           |            1
 Bayview Heights                   |            1
 Beachlands                        |            3
 Beachmere                         |            4
 Beachport                         |            6
 Beacon                            |            2
 Beacon Hill                       |            1
 Beaconsfield                      |            8
 Beaconsfield Upper                |            1
 Bealiba                           |            2
 Bearii                            |            1
 Beaudesert                        |           10
 Beaufort                          |            6
 Beaufort River                    |            1
 Beaumaris                         |           12
 Beauty Point                      |            1
 Beckenham                         |            1
 Beckom                            |            3
 Bedford                           |            3
 Bedfordale                        |            7
 Bedford Park                      |            2
 Bedourie                          |           11
 Beeac                             |            1
 Beechboro                         |            1
 Beechford                         |            1
 Beech Forest                      |            3
 Beechmont                         |            2
 Beechwood                         |            1
 Beechworth                        |            9
 Beecroft                          |            3
 Beecroft Peninsula                |            2
 Beedelup                          |            1
 Beelbangera                       |            2
 Beenak                            |            1
 Beenleigh                         |           11
 Beerburrum                        |            3
 Beerwah                           |           10
 Bega                              |            9
 Belair                            |           16
 Belconnen                         |            7
 Beldon                            |            2
 Belfield                          |            4
 Belgian Gardens                   |            3
 Belgrave                          |            5
 Belgrave Heights                  |            1
 Belgrave South                    |            2
 Belgravia                         |            1
 Bell                              |            1
 Bellambi                          |            5
 Bellara                           |            4
 Bellata                           |            3
 Bella Vista                       |            4
 Bellbird Park                     |            2
 Bellbowrie                        |            1
 Bellbrae West                     |            1
 Bellbridge                        |            1
 Bellbrook                         |            1
 Bellenden Ker                     |            1
 Bellerive                         |            6
 Bellevue                          |            4
 Bellevue Hill                     |            2
 Bellfield                         |            7
 Bellingen                         |            9
 Bellingham                        |            1
 Bell Park                         |            2
 Bell Post Hill                    |            3
 Bells Beach                       |            1
 Belmont                           |           23
 Belmont North                     |            2
 Belmont South                     |            3
 Belmore                           |            1
 Belrose                           |            8
 Beltana                           |            1
 Bemboka                           |            5
 Bemm River                        |            3
 Benalla                           |           13
 Benambra                          |            3
 Benandarah                        |            1
 Benaraby                          |            8
 Benarkin                          |            2
 Bencubbin                         |            2
 Bendalong                         |            2
 Bendemeer                         |            2
 Bendick Murrell                   |            2
 Bendigo                           |           13
 Bendoc                            |            4
 Ben Lomond                        |            3
 Bennetts Green                    |            1
 Bennett Springs                   |            1
 Benowa                            |            5
 Bentleigh                         |            3
 Bentleigh East                    |           13
 Bentley                           |            6
 Bentley Park                      |            2
 Ben Venue                         |            1
 Benwerrin                         |            1
 Berala                            |            8
 Beresfield                        |            9
 Beresford                         |            1
 Berkeley                          |            4
 Berkeley Vale                     |            4
 Berkshire Park                    |            1
 Bermagui                          |            7
 Berowra                           |            3
 Berowra Waters                    |            2
 Berrara                           |            1
 Berri                             |           10
 Berridale                         |            2
 Berriedale                        |            1
 Berrigal                          |            1
 Berrigan                          |            3
 Berrima                           |            2
 Berrimah                          |            2
 Berrima Junction                  |            1
 Berrinba                          |            1
 Berringa                          |            1
 Berriwillock                      |            2
 Berry                             |           10
 Berrys Creek                      |            1
 Berry Springs                     |            7
 Berserker                         |            2
 Bertrum                           |            1
 Berwick                           |           15
 Bethanga                          |            2
 Bethania                          |            2
 Bethany                           |            1
 Bethungra                         |            2
 Beulah                            |            2
 Beulah Park                       |            1
 Beverley                          |            6
 Beverly Hills                     |            4
 Bewong                            |            1
 Bexhill                           |            1
 Bexley                            |            6
 Bexley North                      |            2
 Biarra                            |            2
 Biboohra                          |            1
